FIPS,bronze.rate,silver.rate,gold.rate,Column1,bronze percent difference,Column3,Column4,Column5,Class,,,26,,,,,,,,,
36007,509.3664029,691.0332948,850.4698758,2.763634365,57%,74.969%,88.439%,73.544%,f,,,,,,,0.57,0.472424018,2,,34%,14
36017,509.3664029,691.0332948,850.4698758,2.763634365,57%,74.969%,88.439%,73.544%,f,,,,,,,0.57,0.297517964,26,,22%,9
36033,509.3664029,691.0332948,850.4698758,2.763634365,57%,74.969%,88.439%,73.544%,f,,,,,,,0.57,0.288388197,13,,23%,14
36041,509.3664029,691.0332948,850.4698758,2.763634365,57%,74.969%,88.439%,73.544%,f,,,,,,,0.57,0.265933937,1,,33%,3
36045,509.3664029,691.0332948,850.4698758,2.763634365,57%,74.969%,88.439%,73.544%,f,,,,,,,0.57,0.284931439,5,,35%,2
36053,509.3664029,691.0332948,850.4698758,2.763634365,57%,74.969%,88.439%,73.544%,f,,,,,,,0.57,0.28494129,8,,14%,28
36089,509.3664029,691.0332948,850.4698758,2.763634365,57%,74.969%,88.439%,73.544%,f,,,,,,,0.57,0.284167655,1,,20%,10
36107,509.3664029,691.0332948,850.4698758,2.763634365,57%,74.969%,88.439%,73.544%,f,,,,,,,0.57,0.312790752,25,,19%,66
36049,509.3664029,690.2785143,849.1216364,2.763634365,57%,74.778%,88.140%,73.381%,f,,,,,,,0.57,0.257500576,1,,21%,8
36065,509.3664029,688.5627119,848.9394479,2.763634365,57%,74.344%,88.100%,73.222%,f,,,,,,,0.57,0.275699347,2,,18%,35
36011,504.1529268,683.2028188,845.4910458,2.735347966,56%,72.987%,87.336%,71.979%,f,,,,,,,0.56,0.274824497,3,,15%,72
36015,504.1529268,683.2028188,845.4910458,2.735347966,56%,72.987%,87.336%,71.979%,f,,,,,,,0.56,0.278748763,4,,16%,78
36023,504.1529268,683.2028188,845.4910458,2.735347966,56%,72.987%,87.336%,71.979%,f,,,,,,,0.56,0.273204001,1,,13%,57
36051,504.1529268,683.2028188,845.4910458,2.735347966,56%,72.987%,87.336%,71.979%,f,,,,,,,0.56,0.262628687,1,,17%,9
36055,504.1529268,683.2028188,845.4910458,2.735347966,56%,72.987%,87.336%,71.979%,f,,,,,,,0.56,0.320115857,4,,12%,46
36069,504.1529268,683.2028188,845.4910458,2.735347966,56%,72.987%,87.336%,71.979%,f,,,,,,,0.56,0.27363777,2,,10%,33
36075,504.1529268,683.2028188,845.4910458,2.735347966,56%,72.987%,87.336%,71.979%,f,,,,,,,0.56,0.27363777,2,,9%,57
36097,504.1529268,683.2028188,845.4910458,2.735347966,56%,72.987%,87.336%,71.979%,f,,,,,,,0.56,0.290027929,1,,11%,49
36099,504.1529268,683.2028188,845.4910458,2.735347966,56%,72.987%,87.336%,71.979%,f,,,,,,,0.56,0.255875077,2,,7%,7
36101,504.1529268,683.2028188,845.4910458,2.735347966,56%,72.987%,87.336%,71.979%,f,,,,,,,0.56,0.257432811,3,,4%,82
36117,504.1529268,683.2028188,845.4910458,2.735347966,56%,72.987%,87.336%,71.979%,f,,,,,,,0.56,0.257432811,3,,8%,21
36123,504.1529268,683.2028188,845.4910458,2.735347966,56%,72.987%,87.336%,71.979%,f,,,,,,,0.56,0.33548927,12,,5%,65
